Name,SMILES_x,DDPD-ID,Drug-Name,Molecular-Weight,Molecular-Formula,data_source
cefmenoxime,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,DDPD00267,Cefmenoxime,511.558,C16H17N9O5S3,original
cefmetazole,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O,DDPD00274,Cefmetazole,471.534,C15H17N7O5S3,original
cefonicid,[H][C@]12SCC(CSC3=NN=NN3CS(O)(=O)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)C1=CC=CC=C1)C(O)=O,DDPD01328,Cefonicid,542.566,C18H18N6O8S3,original
cefoperazone,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1)C(O)=O,DDPD01329,Cefoperazone,645.67,C25H27N9O8S2,original
ceforanide,[H][C@]12SCC(CSC3=NN=NN3CC(O)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1CN)C(O)=O,DDPD00923,Ceforanide,519.554,C20H21N7O6S2,original
cefotaxime,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,DDPD00493,Cefotaxime,455.465,C16H17N5O7S2,original
cefotetan,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)C1SC(S1)=C(C(N)=O)C(O)=O)OC)C(O)=O,DDPD01330,Cefotetan,575.619,C17H17N7O8S4,original
cefotiam,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,DDPD00229,Cefotiam,525.628,C18H23N9O4S3,original
cefoxitin,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@]2(NC(=O)CC1=CC=CS1)OC)C(O)=O,DDPD01331,Cefoxitin,427.452,C16H17N3O7S2,original
cefpiramide,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)C1=C(O)C=C(C)N=C1)C1=CC=C(O)C=C1)C(O)=O,DDPD00430,Cefpiramide,612.637,C25H24N8O7S2,original
cefpirome,[H][C@]12SCC(C[N+]3=C4CCCC4=CC=C3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C([O-])=O,DDPD13682,Cefpirome,514.577,C22H22N6O5S2,original
cefpodoxime,[H][C@]12SCC(COC)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,DDPD01416,Cefpodoxime,427.455,C15H17N5O6S2,original
cefprozil,[H][C@]12SCC(C=CC)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,DDPD01150,Cefprozil,389.426,C18H19N3O5S,original
cefradine,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O,DDPD01333,Cefradine,349.405,C16H19N3O4S,original
ceftaroline fosamil,[H][C@]12SCC(SC3=NC(=CS3)C3=CC=[N+](C)C=C3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC)\C1=NSC(NP(O)(O)=O)=N1)C([O-])=O,DDPD06590,Ceftaroline fosamil,684.67,C22H21N8O8PS4,original
ceftazidime,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,DDPD00438,Ceftazidime,546.576,C22H22N6O7S2,original
ceftibuten,[H][C@]12SCC=C(N1C(=O)[C@H]2NC(=O)C(=C/CC(O)=O)\C1=CSC(N)=N1)C(O)=O,DDPD01415,Ceftibuten,410.425,C15H14N4O6S2,original
ceftizoxime,[H][C@]12SCC=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,DDPD01332,Ceftizoxime,383.403,C13H13N5O5S2,original
ceftobiprole,[H][C@@]1(NC(=O)C(=N/O)\C2=NSC(N)=N2)C(=O)N2C(C(O)=O)=C(CS[C@]12[H])\C=C1/CCN(C1=O)[C@]1([H])CCNC1,DDPD04918,Ceftobiprole,534.57,C20H22N8O6S2,original
ceftobiprole medocaril,[H][C@@]1(NC(=O)C(=N/O)\C2=NSC(N)=N2)C(=O)N2C(C(O)=O)=C(CS[C@]12[H])\C=C1/CCN(C1=O)[C@]1([H])CCN(C1)C(=O)OCC1=C(C)OC(=O)O1,,,690.7,C26H26N8O11S2,PubChem
ceftolozane,CN1C(N)=C(NC(=O)NCCN)C=[N+]1CC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=NSC(N)=N1)C2=O)C([O-])=O,DDPD09050,Ceftolozane,666.69,C23H30N12O8S2,original
ceftriaxone,[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,DDPD01212,Ceftriaxone,554.58,C18H18N8O7S3,original
cefuroxime,[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CC=CO1)C(O)=O,DDPD01112,Cefuroxime,424.385,C16H16N4O8S,original
celecoxib,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,DDPD00482,Celecoxib,381.372,C17H14F3N3O2S,original
celiprolol,CCN(CC)C(=O)NC1=CC=C(OCC(O)CNC(C)(C)C)C(=C1)C(C)=O,DDPD04846,Celiprolol,379.501,C20H33N3O4,original
cenobamate,NC(=O)O[C@@H](CN1N=CN=N1)C1=C(Cl)C=CC=C1,DDPD06119,Cenobamate,267.67,C10H10ClN5O2,original
cephalexin,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,DDPD00567,Cephalexin,347.389,C16H17N3O4S,original
cephaloglycin,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,DDPD00689,Cephaloglycin,405.425,C18H19N3O6S,original
ceritinib,CC(C)OC1=C(NC2=NC=C(Cl)C(N2)=NC2=CC=CC=C2S(=O)(=O)C(C)C)C=C(C)C(=C1)C1CCNCC1,DDPD09063,Ceritinib,558.14,C28H36ClN5O3S,original
cerivastatin,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C,DDPD00439,Cerivastatin,459.5503,C26H34FNO5,original
ceruletide,[H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,DDPD00403,Ceruletide,1352.405,C58H73N13O21S2,original
cetalkonium,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,DDPD11583,Cetalkonium,360.649,C25H46N,original
cetirizine,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DDPD00341,Cetirizine,388.888,C21H25ClN2O3,original
cetrimonium,CCCCCCCCCCCCCCCC[N+](C)(C)C,DDPD01718,Cetrimonium,284.5435,C19H42N,original
cetrorelix,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,DDPD00050,Cetrorelix,1431.038,C70H92ClN17O14,original
cetyl alcohol,CCCCCCCCCCCCCCCCO,DDPD09494,Cetyl alcohol,242.4406,C16H34O,original
cetylpyridinium,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,,,304.5,C21H38N+,PubChem
cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1,DDPD00185,Cevimeline,199.313,C10H17NOS,original
chenodeoxycholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,DDPD06777,Chenodeoxycholic acid,392.572,C24H40O4,original
chloral hydrate,OC(O)C(Cl)(Cl)Cl,DDPD01563,Chloral hydrate,165.403,C2H3Cl3O2,original
chlorambucil,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,DDPD00291,Chlorambucil,304.212,C14H19Cl2NO2,original
chloramphenicol,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,DDPD00446,Chloramphenicol,323.129,C11H12Cl2N2O5,original
chloramphenicol palmitate,CCCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,,,561.5,C27H42Cl2N2O6,PubChem
chloramphenicol succinate,O[C@@H]([C@@H](COC(=O)CCC(O)=O)NC(=O)C(Cl)Cl)C1=CC=C(C=C1)[N+]([O-])=O,DDPD07565,Chloramphenicol succinate,423.202,C15H16Cl2N2O8,original
chlorcyclizine,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DDPD08936,Chlorcyclizine,300.826,C18H21ClN2,original
chlordiazepoxide,CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=[N+]([O-])C1,DDPD00475,Chlordiazepoxide,299.755,C16H14ClN3O,original
chlorhexidine,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,DDPD00878,Chlorhexidine,505.447,C22H30Cl2N10,original
chloric acid,[H]O[Cl](=O)=O,,,84.46,ClHO3,PubChem
chlormerodrin,COC(CNC(N)=O)C[Hg]Cl,DDPD00534,Chlormerodrin,367.2,C5H11ClHgN2O2,original
chlormerodrin hg-197,[Cl-].COC(C[197Hg+])CNC(N)=O,,,363.57,C5H11ClHgN2O2,PubChem
chlormezanone,CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O,DDPD01178,Chlormezanone,273.736,C11H12ClNO3S,original
chlorobutanol,CC(C)(O)C(Cl)(Cl)Cl,DDPD11386,Chlorobutanol,177.45,C4H7Cl3O,original
chloroform,ClC(Cl)Cl,DDPD11387,Chloroform,119.378,CHCl3,original
chloroprocaine,CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1,DDPD01161,Chloroprocaine,270.755,C13H19ClN2O2,original
chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,DDPD00608,Chloroquine,319.872,C18H26ClN3,original
chlorothiazide,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1,DDPD00880,Chlorothiazide,295.723,C7H6ClN3O4S2,original
chloroxine,OC1=C(Cl)C=C(Cl)C2=C1N=CC=C2,DDPD01243,Chloroxine,214.048,C9H5Cl2NO,original
chloroxylenol,CC1=CC(O)=CC(C)=C1Cl,DDPD11121,Chloroxylenol,156.61,C8H9ClO,original
chlorphenesin,OCC(O)COC1=CC=C(Cl)C=C1,DDPD00856,Chlorphenesin,202.635,C9H11ClO3,original
chlorphenesin carbamate,NC(=O)OCC(O)COC1=CC=C(Cl)C=C1,,,245.66,C10H12ClNO4,PubChem
chlorpheniramine,CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,DDPD01114,Chlorpheniramine,274.788,C16H19ClN2,original
chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,DDPD00477,Chlorpromazine,318.864,C17H19ClN2S,original
chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,DDPD00672,Chlorpropamide,276.74,C10H13ClN2O3S,original
chlorprothixene,CN(C)CC\C=C1\C2=CC=CC=C2SC2=CC=C(Cl)C=C12,DDPD01239,Chlorprothixene,315.86,C18H18ClNS,original
chlorquinaldol,CC1=NC2=C(C=C1)C(Cl)=CC(Cl)=C2O,DDPD13306,Chlorquinaldol,228.07,C10H7Cl2NO,original
chlortetracycline,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC(Cl)=C1[C@@]3(C)O,DDPD09093,Chlortetracycline,478.88,C22H23ClN2O8,original
chlorthalidone,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,DDPD00310,Chlorthalidone,338.766,C14H11ClN2O4S,original
chlorzoxazone,ClC1=CC2=C(OC(=O)N2)C=C1,DDPD00356,Chlorzoxazone,169.565,C7H4ClNO2,original
cholecalciferol,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,DDPD00169,Cholecalciferol,384.6377,C27H44O,original
cholesterol,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,DDPD04540,Cholesterol,386.6535,C27H46O,original
cholic acid,[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C,DDPD02659,Cholic Acid,408.5714,C24H40O5,original
choline,C[N+](C)(C)CCO,DDPD00122,Choline,104.1708,C5H14NO,original
choline,C[N+](C)(C)CCO,DDPD09277,Choline C 11,138.62,C5H14ClNO,original
choline,C[N+](C)(C)CCO,DDPD09563,Choline C-11,103.173,C5H14NO,original
choline c 11,[Cl-].C[N+](C)([11CH3])CCO,DDPD00122,Choline,104.1708,C5H14NO,original
choline c 11,[Cl-].C[N+](C)([11CH3])CCO,DDPD09277,Choline C 11,138.62,C5H14ClNO,original
choline c 11,[Cl-].C[N+](C)([11CH3])CCO,DDPD09563,Choline C-11,103.173,C5H14NO,original
choline c-11,C[N+](C)([11CH3])CCO,DDPD00122,Choline,104.1708,C5H14NO,original
choline c-11,C[N+](C)([11CH3])CCO,DDPD09277,Choline C 11,138.62,C5H14ClNO,original
choline c-11,C[N+](C)([11CH3])CCO,DDPD09563,Choline C-11,103.173,C5H14NO,original
choline magnesium trisalicylate,[Mg++].C[N+](C)(C)CCO.OC1=CC=CC=C1C([O-])=O.OC1=CC=CC=C1C([O-])=O.OC1=CC=CC=C1C([O-])=O,,,539.8,C26H29MgNO10,PubChem
choline salicylate,C[N+](C)(C)CCO.OC1=CC=CC=C1C([O-])=O,DDPD14006,Choline salicylate,241.287,C12H19NO4,original
chromic chloride,[Cl-].[Cl-].[Cl-].[Cr+3],DDPD09129,Chromic chloride,158.35,Cl3Cr,original
chromic nitrate,[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,DDPD14527,Chromic nitrate,238.0108,CrN3O9,original
chromium,[Cr],DDPD11136,Chromium,51.9961,Cr,original
chromium cr-51,[51Cr],,,50.944765,Cr,PubChem
chromium gluconate,[Cr+3].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O,DDPD14528,Chromium gluconate,637.437,C18H33CrO21,original
chromium nicotinate,[Cr+3].[O-]C(=O)C1=CN=CC=C1.[O-]C(=O)C1=CN=CC=C1.[O-]C(=O)C1=CN=CC=C1,DDPD14529,Chromium nicotinate,418.305,C18H12CrN3O6,original
chromium picolinate,[Cr+3].[O-]C(=O)C1=NC=CC=C1.[O-]C(=O)C1=NC=CC=C1.[O-]C(=O)C1=NC=CC=C1,,,418.3,C18H12CrN3O6,PubChem
chromous sulfate,[Cr++].[O-]S([O-])(=O)=O,DDPD14530,Chromous sulfate,148.05,CrO4S,original
cianidanol,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC=C(O)C(O)=C1,,,290.27,C15H14O6,PubChem
ciclesonide,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(O[C@@H](O2)C1CCCCC1)C(=O)COC(=O)C(C)C,DDPD01410,Ciclesonide,540.697,C32H44O7,original
ciclopirox,CC1=CC(=O)N(O)C(=C1)C1CCCCC1,DDPD01188,Ciclopirox,207.2689,C12H17NO2,original
cidofovir,NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,DDPD00369,Cidofovir,279.187,C8H14N3O6P,original
cilastatin,CC1(C)C[C@@H]1C(=O)N\C(=C/CCCCSC[C@H](N)C(O)=O)C(O)=O,DDPD01597,Cilastatin,358.453,C16H26N2O5S,original
cilazapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCCN2CCC[C@H](N2C1=O)C(O)=O,DDPD01340,Cilazapril,417.4986,C22H31N3O5,original
cilostazol,O=C1CCC2=C(N1)C=CC(OCCCCC1=NN=NN1C1CCCCC1)=C2,DDPD01166,Cilostazol,369.4607,C20H27N5O2,original
cimetidine,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,DDPD00501,Cimetidine,252.339,C10H16N6S,original
cinacalcet,C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,DDPD01012,Cinacalcet,357.412,C22H22F3N,original
cinchocaine,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,DDPD00527,Cinchocaine,343.4632,C20H29N3O2,original
cinnamaldehyde,O=C\C=C\C1=CC=CC=C1,DDPD14184,Cinnamaldehyde,132.1592,C9H8O,original
cinnamyl alcohol,OC\C=C\C1=CC=CC=C1,DDPD14186,Cinnamyl alcohol,134.1751,C9H10O,original
cinnarizine,C(\C=C\C1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,DDPD00568,Cinnarizine,368.5139,C26H28N2,original
cinoxacin,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12,DDPD00827,Cinoxacin,262.2182,C12H10N2O5,original
cinoxate,CCOCCOC(=O)\C=C\C1=CC=C(OC)C=C1,,,250.29,C14H18O4,PubChem
ciprofibrate,CC(C)(OC1=CC=C(C=C1)C1CC1(Cl)Cl)C(O)=O,,,289.15,C13H14Cl2O3,PubChem
ciprofloxacin,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,DDPD00537,Ciprofloxacin,331.3415,C17H18FN3O3,original
cisapride,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC,DDPD00604,Cisapride,465.945,C23H29ClFN3O4,original
cisatracurium,COC1=CC2=C(C=C1OC)[C@@H](CC1=CC(OC)=C(OC)C=C1)[N@@+](C)(CCC(=O)OCCCCCOC(=O)CC[N@@+]1(C)CCC3=C(C=C(OC)C(OC)=C3)[C@H]1CC1=CC(OC)=C(OC)C=C1)CC2,DDPD00565,Cisatracurium,929.16,C53H72N2O12,original
cisplatin,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],DDPD00515,Cisplatin,300.05,Cl2H6N2Pt,original
citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,DDPD00215,Citalopram,324.3919,C20H21FN2O,original
citicoline,C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O,,,488.32,C14H26N4O11P2,PubChem
citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,DDPD04272,Citric acid,192.1235,C6H8O7,original
cladribine,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,DDPD00242,Cladribine,285.687,C10H12ClN5O3,original
clarithromycin,[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C)OC,DDPD01211,Clarithromycin,747.9534,C38H69NO13,original
clascoterone,[H][C@@]12CC[C@](OC(=O)CC)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,,,402.5,C24H34O5,PubChem
clavulanic acid,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO,DDPD00766,Clavulanic acid,199.1608,C8H9NO5,original
clemastine,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DDPD00283,Clemastine,343.89,C21H26ClNO,original
clenbuterol,CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,DDPD01407,Clenbuterol,277.19,C12H18Cl2N2O,original
clevidipine,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC,DDPD04920,Clevidipine,456.316,C21H23Cl2NO6,original
clidinium,C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,DDPD00771,Clidinium,352.4467,C22H26NO3,original
clindamycin,[H][C@@](NC(=O)[C@@H]1C[C@@H](CCC)CN1C)([C@H](C)Cl)[C@@]1([H])O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,DDPD01190,Clindamycin,424.983,C18H33ClN2O5S,original
clioquinol,OC1=C(I)C=C(Cl)C2=C1N=CC=C2,DDPD04815,Clioquinol,305.5,C9H5ClINO,original
clobazam,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,DDPD00349,Clobazam,300.74,C16H13ClN2O2,original
clobetasol,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,,,410.9,C22H28ClFO4,PubChem
clobetasol propionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,DDPD01013,Clobetasol propionate,466.97,C25H32ClFO5,original
clobetasone,[H][C@]1(C)C[C@@]2([H])[C@]3([H])CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl,DDPD13158,Clobetasone,408.89,C22H26ClFO4,original
clocortolone,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,DDPD00838,Clocortolone,410.907,C22H28ClFO4,original
clodronic acid,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,DDPD00720,Clodronic acid,244.892,CH4Cl2O6P2,original
clofarabine,[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12,DDPD00631,Clofarabine,303.677,C10H11ClFN5O3,original
clofazimine,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,DDPD00845,Clofazimine,473.396,C27H22Cl2N4,original
clofedanol,CN(C)CCC(O)(C1=CC=CC=C1)C1=CC=CC=C1Cl,DDPD04837,Clofedanol,289.8,C17H20ClNO,original
clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,DDPD00636,Clofibrate,242.699,C12H15ClO3,original
clomifene,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,DDPD00882,Clomifene,405.96,C26H28ClNO,original
clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2,DDPD01242,Clomipramine,314.852,C19H23ClN2,original
clonazepam,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DDPD01068,Clonazepam,315.711,C15H10ClN3O3,original
clonidine,ClC1=CC=CC(Cl)=C1NC1=NCCN1,DDPD00575,Clonidine,230.094,C9H9Cl2N3,original
clopidogrel,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,DDPD00758,Clopidogrel,321.822,C16H16ClNO2S,original
clorazepic acid,OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,DDPD00628,Clorazepic acid,314.723,C16H11ClN2O3,original
clothiapine,CN1CCN(CC1)C1=NC2=CC=CC=C2SC2=C1C=C(Cl)C=C2,,,343.9,C18H18ClN3S,PubChem
clotiazepam,CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=CC=CC=C1Cl,DDPD01559,Clotiazepam,318.821,C16H15ClN2OS,original
clotrimazole,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,DDPD00257,Clotrimazole,344.837,C22H17ClN2,original
cloxacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1Cl)C(O)=O,DDPD01147,Cloxacillin,435.881,C19H18ClN3O5S,original
clozapine,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,DDPD00363,Clozapine,326.823,C18H19ClN4,original
cobalt,[Co],DDPD14574,Cobalt,58.9332,Co,original
cobalt chloride,[Cl-].[Cl-].[Co++],,,129.84,Cl2Co,PubChem
cobicistat,CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1,DDPD09065,Cobicistat,776.03,C40H53N7O5S2,original
cobimetinib,OC1(CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1)[C@@H]1CCCCN1,DDPD05239,Cobimetinib,531.318,C21H21F3IN3O2,original
cocaine,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C,DDPD00907,Cocaine,303.3529,C17H21NO4,original
cocarboxylase,CC1=C(CCO[P@](O)(=O)O[P@](O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N,,,460.77,C12H19ClN4O7P2S,PubChem
