compound_name,NO.,IUPAC_name,SMILES,CID,logBB,BBB+/BBB-,Inchi,threshold,reference,group,comments,source,MW,AMW,SLogP,SMR,TopoPSA,TopoPSA(NO),nHBAcc,nHBDon,nRot,nAromAtom,nAromBond,nRing,nHetero,nC,nN,nO,nS,HybRatio,FCSP3,apol,bpol,LabuteASA,Lipinski,GhoseFilter
dienogest,5658,"2-(17-hydroxy-13-methyl-3-oxo-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-17-yl)acetonitrile",CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,13175121.0,,BBB-,"InChI=1S/C20H25NO2/c1-19-8-6-16-15-5-3-14(22)12-13(15)2-4-17(16)18(19)7-9-20(19,23)10-11-21/h12,17-18,23H,2-10H2,1H3",,R23|,C,,classification,311.1885290400008,6.483094355000016,3.837180000000002,87.31880000000004,61.09,61.09,3,1,1,0,0,4,3,20,1,2,0,0.7368421052631579,0.7,52.77382499999997,26.518175,137.6189560565882,1,1
diethylcarbamazine citrate,5210,"n,n-diethyl-4-methylpiperazine-1-carboxamide",CCN(CC)C(=O)N1CCN(C)CC1,3052.0,,BBB-,"InChI=1S/C10H21N3O/c1-4-12(5-2)10(14)13-8-6-11(3)7-9-13/h4-9H2,1-3H3",,R14|,C,,classification,199.168462292,5.690527494057142,0.6956,57.38700000000004,26.79000000000001,26.79000000000001,2,0,2,0,0,1,4,10,3,1,0,0.9,0.9,34.80465299999997,27.065347,86.45892201452368,1,1
difenoxin,5884,"1-(3-cyano-3,3-diphenylpropyl)-4-phenylpiperidine-4-carboxylic acid",N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,34328.0,,BBB-,"InChI=1S/C28H28N2O2/c29-22-28(24-12-6-2-7-13-24,25-14-8-3-9-15-25)18-21-30-19-16-27(17-20-30,26(31)32)23-10-4-1-5-11-23/h1-15H,16-21H2,(H,31,32)",,R23|,C,,classification,424.2150781360008,7.07025130226668,5.004780000000005,125.3238,64.33,64.33,3,1,7,18,18,4,4,28,2,2,0,0.2962962962962963,0.2857142857142857,69.23420399999999,31.23779599999999,189.2973507259737,0,1
diflorasone,4951,"(6s,9r,10s,11s,13s,14s,16s,17r)-6,9-difluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",C[C@H]1C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,9978916.0,,BBB+,"InChI=1S/C22H28F2O5/c1-11-6-13-14-8-16(23)15-7-12(26)4-5-19(15,2)21(14,24)17(27)9-20(13,3)22(11,29)18(28)10-25/h4-5,7,11,13-14,16-17,25,27,29H,6,8-10H2,1-3H3/t11-,13-,14?,16-,17-,19-,20-,21-,22-/m0/s1",,R6|,C,,classification,410.1904804360007,7.196324218175451,1.8437,100.2234,94.83,94.83,5,3,2,0,0,4,7,22,0,5,0,0.7272727272727273,0.7272727272727273,60.53420399999997,32.051796,168.0373210142009,1,1
diflorasone diacetate,1177,"[2-[(6s,8s,9r,10s,11s,13s,14s,16s,17r)-17-acetyloxy-6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate",CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,71414.0,,BBB+,"InChI=1S/C26H32F2O7/c1-13-8-17-18-10-20(27)19-9-16(31)6-7-23(19,4)25(18,28)21(32)11-24(17,5)26(13,35-15(3)30)22(33)12-34-14(2)29/h6-7,9,13,17-18,20-21,32H,8,10-12H2,1-5H3/t13-,17-,18-,20-,21-,23-,24-,25-,26-/m0/s1",-1.0,R1|R27|R30|,B,,classification,494.2116098040009,7.376292683641804,2.985300000000001,119.3178,106.97,106.97,7,1,4,0,0,4,9,26,0,7,0,0.6923076923076923,0.6923076923076923,71.48537599999997,41.27262400000003,202.4587566264966,1,0
diflorasone-diacetate,4708,"[2-[(6s,9r,10s,11s,13s,14s,16s,17r)-17-acetyloxy-6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate",CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,10345629.0|nan,,BBB+,"InChI=1S/C26H32F2O7/c1-13-8-17-18-10-20(27)19-9-16(31)6-7-23(19,4)25(18,28)21(32)11-24(17,5)26(13,35-15(3)30)22(33)12-34-14(2)29/h6-7,9,13,17-18,20-21,32H,8,10-12H2,1-5H3/t13-,17-,18?,20-,21-,23-,24-,25-,26-/m0/s1",,R6||R27|R30|,C,,classification,494.2116098040009,7.376292683641804,2.985300000000001,119.3178,106.97,106.97,7,1,4,0,0,4,9,26,0,7,0,0.6923076923076923,0.6923076923076923,71.48537599999997,41.27262400000003,202.4587566264966,1,0
difluprednate,1494,"[(6s,8s,9r,10s,11s,13s,14s,17r)-17-(2-acetyloxyacetyl)-6,9-difluoro-11-hydroxy-10,13-dimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] butanoate",CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,443936.0|3060.0|nan,,BBB+,"InChI=1S/C27H34F2O7/c1-5-6-23(34)36-26(22(33)14-35-15(2)30)10-8-17-18-12-20(28)19-11-16(31)7-9-24(19,3)27(18,29)21(32)13-25(17,26)4/h7,9,11,17-18,20-21,32H,5-6,8,10,12-14H2,1-4H3/t17-,18-,20-,21-,24-,25-,26-,27-/m0/s1",-1.0,R1|R27|R30||R19|R27||R27|R30|,B,,classification,508.2272598680009,7.260389426685728,3.519500000000003,124.0048000000001,106.97,106.97,7,1,6,0,0,4,9,27,0,7,0,0.7037037037037037,0.7037037037037037,74.48896199999997,43.27903800000004,208.8236987408932,0,0
digitoxin,2130,"3-[(3s,5r,8r,9s,10s,13r,14s,17s)-3-[(2r,4s,5s,6r)-5-[(2s,4s,5s,6r)-5-[(2s,4s,5s,6r)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-14-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2h-furan-5-one",C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,6281.0,,BBB-,"InChI=1S/C41H64O13/c1-20-36(46)29(42)16-34(49-20)53-38-22(3)51-35(18-31(38)44)54-37-21(2)50-33(17-30(37)43)52-25-8-11-39(4)24(15-25)6-7-28-27(39)9-12-40(5)26(10-13-41(28,40)47)23-14-32(45)48-19-23/h14,20-22,24-31,33-38,42-44,46-47H,6-13,15-19H2,1-5H3/t20-,21-,22-,24-,25+,26+,27+,28-,29+,30+,31+,33+,34+,35+,36-,37-,38-,39+,40-,41+/m1/s1",-1.0,R1|R27|R30|,B,,classification,764.4346921080019,6.478260102610185,3.247300000000001,191.2209999999994,182.83,182.83,13,5,7,0,0,8,13,41,0,13,0,0.926829268292683,0.926829268292683,121.570752,77.22524800000014,318.5281908108477,0,0
digoxin,97,"3-[(3s,5r,8r,9s,10s,12r,13s,14s)-3-[(2r,4s,5s,6r)-5-[(2s,4s,5s,6r)-5-[(2s,4s,5s,6r)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2h-furan-5-one",C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,30322.0|2724385.0|100003062.0|nan|30322.0|30322.0|,-1.23,BBB-,"InChI=1S/C41H64O14/c1-19-36(47)28(42)15-34(50-19)54-38-21(3)52-35(17-30(38)44)55-37-20(2)51-33(16-29(37)43)53-24-8-10-39(4)23(13-24)6-7-26-27(39)14-31(45)40(5)25(9-11-41(26,40)48)22-12-32(46)49-18-22/h12,19-21,23-31,33-38,42-45,47-48H,6-11,13-18H2,1-5H3/t19-,20-,21-,23-,24+,25?,26-,27+,28+,29+,30+,31-,33+,34+,35+,36-,37-,38-,39+,40+,41+/m1/s1",-1.0,R8|R21||R1|R15|R27|R30|R34||R16|R10|R10||R6||R23||R27|R30|,A,,classification|regression,780.4296067280018,6.558231989310939,2.218100000000003,192.6107999999994,203.06,203.06,14,6,7,0,0,8,14,41,0,14,0,0.926829268292683,0.926829268292683,122.372752,77.22524800000014,323.3224245630436,0,0
dihydrocodeine,839,"(4r,4ar,7s,7ar,12bs)-9-methoxy-3-methyl-2,4,4a,5,6,7,7a,13-octahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol",COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,5284543.0|100003063.0|10335028.0|nan|5284543.0|5284543.0|5284543.0|5284543.0|5284543.0|5284543.0|,0.55,BBB+,"InChI=1S/C18H23NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3,6,11-13,17,20H,4-5,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1",-1.0,R2|R2|R20|R25|R27|R46||R16|R10|R10||R6||R27|R30|,A,,classification|regression,301.1677935960006,6.692617635466681,1.7251,82.55780000000004,41.93,41.93,4,1,1,6,6,5,4,18,1,3,0,0.6666666666666666,0.6666666666666666,48.90223899999998,28.255761,130.5685417595525,1,1
dihydroergotamine,1884,"(6ar,9r,10ar)-n-[(1s,2s,4r,7s)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9,10,10a-hexahydro-4h-indolo[4,3-fg]quinoline-9-carboxamide",CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,10531.0|100003066.0|169002.0,,BBB-,"InChI=1S/C33H37N5O5/c1-32(35-29(39)21-15-23-22-10-6-11-24-28(22)20(17-34-24)16-25(23)36(2)18-21)31(41)38-26(14-19-8-4-3-5-9-19)30(40)37-13-7-12-27(37)33(38,42)43-32/h3-6,8-11,17,21,23,25-27,34,42H,7,12-16,18H2,1-2H3,(H,35,39)/t21-,23-,25-,26+,27+,32-,33+/m1/s1",-1.0,R1|R24|R27|R30||R16|R10||R9|,B,,classification,583.2794692840012,7.290993366050015,2.081100000000002,157.3661999999997,118.21,118.21,6,3,4,15,16,8,10,33,5,5,0,0.4848484848484848,0.4848484848484848,89.29134099999999,47.72865900000005,249.5057751602522,0,0
dihydroheterocodeine,2014,"(4r,4ar,7s,7ar,12bs)-7-methoxy-3-methyl-2,4,4a,5,6,7,7a,13-octahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-9-ol",CO[C@H]1CC[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,5463907.0,,BBB+,"InChI=1S/C18H23NO3/c1-19-8-7-18-11-4-6-14(21-2)17(18)22-16-13(20)5-3-10(15(16)18)9-12(11)19/h3,5,11-12,14,17,20H,4,6-9H2,1-2H3/t11-,12+,14-,17-,18-/m0/s1",-1.0,R1|R27|R30|,B,,classification,301.1677935960006,6.692617635466681,2.0762,82.46080000000005,41.93000000000001,41.93000000000001,4,1,1,6,6,5,4,18,1,3,0,0.6666666666666666,0.6666666666666666,48.90223899999997,28.255761,130.5685417595525,1,1
dihydrostreptomycin,4863,"2-[(1r,2r,3s,4r,5r,6s)-3-(diaminomethylideneamino)-4-[(2r,3r,4r,5s)-3-[(2s,3s,4s,5r,6s)-4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-hydroxy-4-(hydroxymethyl)-5-methyloxolan-2-yl]oxy-2,5,6-trihydroxycyclohexyl]guanidine",CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,439369.0|nan,,BBB-,"InChI=1S/C21H41N7O12/c1-5-21(36,4-30)16(40-17-9(26-2)13(34)10(31)6(3-29)38-17)18(37-5)39-15-8(28-20(24)25)11(32)7(27-19(22)23)12(33)14(15)35/h5-18,26,29-36H,3-4H2,1-2H3,(H4,22,23,27)(H4,24,25,28)/t5-,6-,7+,8-,9-,10-,11+,12-,13-,14+,15+,16-,17-,18-,21+/m0/s1",,R6||R27|R30|,C,,classification,583.2813197520011,7.201003947555569,-8.367700000000015,133.9407,339.59,339.59,15,13,9,0,0,3,19,21,7,12,0,0.9047619047619048,0.9047619047619048,79.73251299999995,48.64548700000006,228.5287207341487,0,0
dihydrotachysterol,5166,"3-[2-[1-(5,6-dimethylhept-3-en-2-yl)-7a-methyl-2,3,3a,5,6,7-hexahydro-1h-inden-4-ylidene]ethylidene]-4-methylcyclohexan-1-ol",CC1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,3070.0|5353584.0,,BBB-,"InChI=1S/C28H46O/c1-19(2)20(3)9-10-22(5)26-15-16-27-23(8-7-17-28(26,27)6)12-13-24-18-25(29)14-11-21(24)4/h9-10,12-13,19-22,25-27,29H,7-8,11,14-18H2,1-6H3",,R14||R23|,C,,classification,398.3548660920013,5.311398214560017,7.720900000000008,125.6658000000001,20.23,20.23,1,1,5,0,0,3,1,28,0,1,0,0.7857142857142857,0.7857142857142857,78.23447799999995,46.14752200000004,180.3006193115936,0,0
diltiazem,719,"[(2s,3s)-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-3-yl] acetate",COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,39186.0|39186.0|,0.3,BBB+,"InChI=1S/C22H26N2O4S/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3/h5-12,20-21H,13-14H2,1-4H3/t20-,21+/m1/s1",,R42|,A,,classification|regression,414.1613283120007,7.530205969309103,3.368500000000002,114.495,84.38000000000001,59.08000000000001,6,0,6,12,12,3,7,22,2,4,1,0.3636363636363636,0.3636363636363636,62.38461799999998,37.17138200000002,175.3249993408711,1,1
dimercaprol,5961,"2,3-bis(sulfanyl)propan-1-ol",OCC(S)CS,3080.0,,BBB-,"InChI=1S/C3H8OS2/c4-1-3(6)2-5/h3-6H,1-2H2",,R23|,C,,classification,124.001656876,8.857261205428571,0.2069,33.7128,97.83,20.23,3,3,2,0,0,0,3,3,0,1,2,1.0,1.0,16.946344,12.945656,48.57350233562222,1,0
dimetacrine,1747,"3-(9,9-dimethylacridin-10-yl)-n,n-dimethylpropan-1-amine",CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,94280.0,,BBB+,"InChI=1S/C20H26N2/c1-20(2)16-10-5-7-12-18(16)22(15-9-14-21(3)4)19-13-8-6-11-17(19)20/h5-8,10-13H,9,14-15H2,1-4H3",-1.0,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,B,,classification,294.2095988320007,6.129366642333348,4.415700000000004,95.18900000000008,6.48,6.48,2,0,4,12,12,3,2,20,2,0,0,0.4,0.4,52.93661799999997,29.50338199999999,133.9218704276114,1,1
dimethamphetamine,3507,"(2s)-n,n-dimethyl-1-phenylpropan-2-amine",C[C@@H](Cc1ccccc1)N(C)C,65682.0,,BBB+,"InChI=1S/C11H17N/c1-10(12(2)3)9-11-7-5-4-6-8-11/h4-8,10H,9H2,1-3H3/t10-/m0/s1",-1.0,R13|R6|R27|R30|,B,,classification,163.136099544,5.625382742896552,2.1792,53.29500000000005,3.24,3.24,1,0,3,6,6,1,1,11,1,0,0,0.4545454545454545,0.4545454545454545,30.80548099999997,18.764519,75.01594736168337,1,1
dimethylamphetamine,1303,"n,n-dimethyl-1-phenylpropan-2-amine",CC(Cc1ccccc1)N(C)C,20006.0,,BBB+,"InChI=1S/C11H17N/c1-10(12(2)3)9-11-7-5-4-6-8-11/h4-8,10H,9H2,1-3H3",-1.0,R1|R19|R27|R27|R30|,B,,classification,163.136099544,5.625382742896552,2.1792,53.29500000000005,3.24,3.24,1,0,3,6,6,1,1,11,1,0,0,0.4545454545454545,0.4545454545454545,30.80548099999997,18.764519,75.01594736168337,1,1
dinoprostone,5470,"(z)-7-[(1r,2r,3r)-3-hydroxy-2-[(e,3s)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid",CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,5280360.0,,BBB-,"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-17,19,21,23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+/t15-,16+,17+,19+/m0/s1",,R15|,C,,classification,352.2249741240008,6.179385510947383,3.251100000000002,97.14340000000004,94.83,94.83,4,3,12,0,0,1,5,20,0,5,0,0.7,0.7,58.74737599999996,33.838624,149.9938594401429,1,1
diosmin,2041,"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-[[(2r,3r,4r,5r,6s)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,5281613.0|5353588.0|nan,,BBB-,"InChI=1S/C28H32O15/c1-10-21(32)23(34)25(36)27(40-10)39-9-19-22(33)24(35)26(37)28(43-19)41-12-6-14(30)20-15(31)8-17(42-18(20)7-12)11-3-4-16(38-2)13(29)5-11/h3-8,10,19,21-30,32-37H,9H2,1-2H3/t10-,19+,21-,22+,23+,24-,25+,26+,27+,28+/m0/s1",-1.0,R1|R6|R27|R30||R19|R14|R23|R27||R27|R30|,B,,classification,608.1741203240008,8.108988270986677,-1.0897,143.4184,238.2,238.2,15,8,7,16,17,5,15,28,0,15,0,0.4642857142857143,0.4642857142857143,80.12737599999998,43.38662400000004,242.7906821265489,0,0
diphemanil,5324,"4-benzhydrylidene-1,1-dimethylpiperidin-1-ium",C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,6127.0,,BBB-,"InChI=1S/C20H24N/c1-21(2)15-13-19(14-16-21)20(17-9-5-3-6-10-17)18-11-7-4-8-12-18/h3-12H,13-16H2,1-2H3/q+1",,R14|R23|R27|,C,,classification,278.1903261880906,6.182007248624236,4.358700000000004,89.98240000000007,0.0,0.0,0,0,2,12,12,3,1,20,1,0,0,0.3,0.3,50.50303199999998,26.35696799999999,127.6824052118191,1,1
diphenhydramine,1034,"2-benzhydryloxy-n,n-dimethylethanamine",CN(C)CCOC(c1ccccc1)c1ccccc1,3100.0|100003100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|3100.0|,1.3,BBB+,"InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3",-1.0,R42|R2|R2|R3|R8|R18|R21|R25|R26|R27|R27|R27|R38|R41|R43|R46|R47|R40||R16|R16|R10|R10|,A,,classification|regression,255.162314292,6.379057857299999,3.354200000000002,79.23300000000006,12.47,12.47,2,0,6,12,12,2,2,17,1,1,0,0.2941176470588235,0.2941176470588235,44.29465299999998,24.513347,115.1865867972543,1,1
diphenylpyraline,5269,4-benzhydryloxy-1-methylpiperidine,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,3103.0,,BBB+,"InChI=1S/C19H23NO/c1-20-14-12-18(13-15-20)21-19(16-8-4-2-5-9-16)17-10-6-3-7-11-17/h2-11,18-19H,12-15H2,1H3",,R14|R23|,C,,classification,281.1779643560006,6.390408280818196,3.886800000000002,86.33100000000006,12.47,12.47,2,0,4,12,12,3,2,19,1,1,0,0.3684210526315789,0.3684210526315789,48.96823899999998,26.519761,126.9106398725183,1,1
dipivefrin (dipivefrine),6431,"[2-(2,2-dimethylpropanoyloxy)-4-[(1r)-1-hydroxy-2-(methylamino)ethyl]phenyl] 2,2-dimethylpropanoate",CNC[C@H](O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,1150214.0,,BBB-,"InChI=1S/C19H29NO5/c1-18(2,3)16(22)24-14-9-8-12(13(21)11-20-7)10-15(14)25-17(23)19(4,5)6/h8-10,13,20-21H,11H2,1-7H3/t13-/m0/s1",,R24|R27|R30|,C,,classification,351.2045730280008,6.503788389407423,2.842400000000001,95.50850000000004,84.85999999999999,84.85999999999999,6,2,5,6,6,1,6,19,1,5,0,0.5789473684210527,0.5789473684210527,56.17699699999997,34.871003,149.0698812015582,1,1
dipyridamole,561,"2-[[2-[bis(2-hydroxyethyl)amino]-4,8-di(piperidin-1-yl)pyrimido[5,4-d]pyrimidin-6-yl]-(2-hydroxyethyl)amino]ethanol",OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,3108.0|3108.0|,0.0,BBB+,"InChI=1S/C24H40N8O4/c33-15-11-31(12-16-34)23-26-20-19(21(27-23)29-7-3-1-4-8-29)25-24(32(13-17-35)14-18-36)28-22(20)30-9-5-2-6-10-30/h33-36H,1-18H2",,R25|,A,,classification|regression,504.3172517600012,6.635753312631595,-0.0175999999999973,140.0251999999999,145.44,145.44,12,4,12,10,11,4,12,24,8,4,0,0.75,0.75,78.75971999999997,51.52828000000007,211.7652250166962,0,0
disopyramide,5123,4-[di(propan-2-yl)amino]-2-phenyl-2-pyridin-2-ylbutanamide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,3114.0,,BBB-,"InChI=1S/C21H29N3O/c1-16(2)24(17(3)4)15-13-21(20(22)25,18-10-6-5-7-11-18)19-12-8-9-14-23-19/h5-12,14,16-17H,13,15H2,1-4H3,(H2,22,25)",,R14|R15|,C,,classification,339.2310625480008,6.282056713851866,3.361900000000002,102.2484000000001,59.22,59.22,3,1,8,12,12,2,4,21,3,1,0,0.4285714285714285,0.4285714285714285,58.50899699999997,32.24100299999999,150.6188129177335,1,1
disulfiram,2307,"2-(1,4-dioxaspiro[4.5]decan-3-ylmethyl)guanidine",NC(N)=NCC1COC2(CCCCC2)O1,38521.0|100003117.0,,BBB-,"InChI=1S/C10H19N3O2/c11-9(12)13-6-8-7-14-10(15-8)4-2-1-3-5-10/h8H,1-7H2,(H4,11,12,13)",-1.0,R1|R19|R28|R9|R14|R23|R27|R27|R30|R36||R16|R10|,B,,classification,213.147726848,6.269050789647059,0.3355999999999997,57.31780000000003,82.86000000000001,82.86000000000001,3,2,2,0,0,2,5,10,3,2,0,0.9,0.9,34.27306699999997,22.532933,89.81426208923988,1,1
dl-cycloserine,2316,"4-amino-1,2-oxazolidin-3-one",NC1CONC1=O,401.0,,BBB+,"InChI=1S/C3H6N2O2/c4-2-1-7-5-3(2)6/h2H,1,4H2,(H,5,6)",-1.0,R1|R19|R28|R27|R27|R30|R36|,B,,classification,102.042927432,7.849455956307692,-1.624900000000001,22.0701,64.35,64.35,3,2,0,0,0,1,4,3,2,2,0,0.6666666666666666,0.6666666666666666,12.814758,7.483242,40.58216281274292,1,0
dl-panthenol,5112,"2,4-dihydroxy-n-(3-hydroxypropyl)-3,3-dimethylbutanamide",CC(C)(CO)C(O)C(=O)NCCCO,4678.0,,BBB-,"InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)",,R14|,C,,classification,205.131408088,6.216103275393939,-1.135599999999999,51.58610000000003,89.79,89.79,4,4,6,0,0,0,5,9,1,4,0,0.8888888888888888,0.8888888888888888,32.00706699999997,20.498933,83.75287348324227,1,0
dl-pantothenic acid,5111,"3-[(2,4-dihydroxy-3,3-dimethylbutanoyl)amino]propanoic acid",CC(C)(CO)C(O)C(=O)NCCC(=O)O,988.0,,BBB-,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)",,R14|,C,,classification,219.110672644,6.847208520125,-1.0433,52.13610000000003,106.86,106.86,4,4,6,0,0,0,6,9,1,5,0,0.7777777777777778,0.7777777777777778,31.47548099999997,19.360519,87.91439558328604,1,0
dl-tryptophan,4618,2-amino-3-(1h-indol-3-yl)propanoic acid,NC(Cc1c[nH]c2ccccc12)C(=O)O,1148.0,,BBB+,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",-1.0,R19|R27|,B,,classification,204.089877624,7.558884356444445,1.1223,57.61390000000001,79.11,79.11,2,3,3,9,10,2,4,11,2,2,0,0.1818181818181818,0.1818181818181818,30.17551599999998,12.906484,86.71270096468879,1,1
